id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,company_name,broad_sector,sub_sector,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,return_on_equity_pct,free_cash_flow_cr,capex_cr,cash_from_operations_cr,quality_score
196,ASIANPAINT,2024,35495,27910,7585.0,21.0,821,205,853,7348,24.0,5558,57.0,58.0,277,96.0,18632,2474,8698,29901,7147,2698,4588,15468,29901,174,6104.0,-2548.0,-2982.0,573.0,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,2126725.18,2475080.63,73.37,3.9,23.94,2.42,15.66,21.37,0.1321016659547202,29.68,3556.0,7.17847584166784,6104.0,90
306,BEL,2024,20268,15217,5051.0,25.0,670,12,443,5266,25.0,3985,5.0,40.0,372,11.0,73,43,33,161,18,0,1,142,161,289,4659.0,-5924.0,-1475.0,-2739.0,Bharat Electronics Ltd,Industrials,Defence Electronics,1354781.06,1259877.04,17.89,9.22,23.14,0.76,19.66,24.92,0.5119047619047619,4744.05,-1265.0,29.228340240773633,4659.0,90
196,ASIANPAINT,2024,35495,27910,7585.0,21.0,821,205,853,7348,24.0,5558,57.0,58.0,264,96.0,18632,2474,8698,29901,7147,2698,4588,15468,29901,174,6104.0,-2548.0,-2982.0,573.0,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Materials,Paints & Coatings,2126725.18,2475080.63,73.37,3.9,23.94,2.42,15.66,21.37,0.1321016659547202,29.68,3556.0,7.17847584166784,6104.0,90
332,BOSCHLTD,2024,16727,14632,2095.0,13.0,1566,51,430,3181,22.0,2490,844.0,44.0,411,30.0,12034,39,5252,17355,1770,224,5125,10236,17355,325,1253.0,283.0,-1452.0,84.0,Bosch Ltd,Consumer Discretionary,Auto Ancillaries,2599556.05,2628370.51,58.43,6.47,16.07,4.23,14.89,12.52,0.003232758620689655,20.64,1536.0,1.6918754110121361,1253.0,90
358,BRITANNIA,2024,16769,13603,3167.0,19.0,211,164,300,2913,27.0,2134,89.0,83.0,437,24.0,3917,2065,3065,9072,2771,188,2767,3346,9072,349,2573.0,477.0,-2830.0,219.0,Britannia Industries Ltd,Consumer Staples,Food Products,324745.74,376568.58,63.91,4.26,33.95,1.88,12.73,18.89,0.5239786856127886,54.15,3050.0,2.844534557815016,2573.0,90
566,HCLTECH,2024,109913,85715,24198.0,22.0,1495,553,4173,20967,25.0,15710,58.0,90.0,641,543.0,67720,5758,24985,99006,35063,108,7137,56698,99006,537,22448.0,-6608.0,-15464.0,376.0,HCL Technologies Ltd,Information Technology,IT Services,412593.29,461362.25,63.63,5.44,31.21,1.99,14.29,22.02,0.08435023365512796,23.01,15840.0,6.012027694631208,22448.0,90
872,LTIM,2024,35517,29130,6387.0,18.0,702,222,819,6049,24.0,4585,155.0,42.0,960,30.0,19988,2071,5456,27544,4981,551,8744,13269,27544,809,5670.0,-3918.0,-2269.0,-518.0,LTIMindtree Ltd,Information Technology,IT Services,1347046.9,1647384.23,64.52,2.38,18.9,4.43,12.91,17.98,0.10345688880007993,22.9,1752.0,11.031337106174508,5670.0,90
630,HINDUNILVR,2024,61896,334,47237.0,14659.0,24,817,1216,13926,26.0,10282,44.0,96.0,717,235.0,50983,1484,25787,78489,53744,1025,4625,19095,78489,596,15469.0,-5324.0,-10034.0,111.0,"Hindustan Unilever Ltd
",Consumer Staples,FMCG,548890.59,587463.38,34.51,11.88,7.52,4.32,16.61,76.32,0.028974188761763442,20.07,10145.0,8.601525138942742,15469.0,90
721,INFY,2024,153670,117245,36425.0,24.0,4711,470,4678,35988,27.0,26248,63.0,,793,2071.0,86045,8359,39545,136020,27622,293,24623,83482,136020,668,25210.0,-5093.0,-17504.0,2613.0,Infosys Ltd,Information Technology,IT Services,1112279.92,1372029.68,35.99,8.97,36.7,4.1,17.08,23.7,0.09486358890553362,29.79,20117.0,3.314244810307802,25210.0,90
217,BAJAJ-AUTO,2024,44870,36106,8765.0,20.0,1700,60,365,10040,23.0,7708,276.0,29.0,310,279.0,28683,1912,8470,39344,3217,35,28087,8005,39344,219,6558.0,-72.0,-6167.0,319.0,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,653817.3,679803.97,29.91,9.83,20.14,3.59,17.18,19.53,0.06601754022512257,26.61,6486.0,0.16046356139959886,6558.0,90
217,BAJAJ-AUTO,2024,44870,36106,8765.0,20.0,1700,60,365,10040,23.0,7708,276.0,29.0,310,279.0,28683,1912,8470,39344,3217,35,28087,8005,39344,231,6558.0,-72.0,-6167.0,319.0,Bajaj Auto Ltd,Consumer Discretionary,Two Wheelers,653817.3,679803.97,29.91,9.83,20.14,3.59,17.18,19.53,0.06601754022512257,26.61,6486.0,0.16046356139959886,6558.0,90
1248,TRENT,2024,12375,10404,1971.0,16.0,989,368,671,1921,23.0,1477,42.0,8.0,1360,36.0,4032,1753,1341,7162,2450,224,1416,3072,7162,1157,1349.0,-508.0,-629.0,211.0,Trent Ltd,Consumer Discretionary,Retail,571322.04,566293.08,8.65,11.82,34.65,3.46,11.94,15.93,0.4309242871189774,36.31,841.0,4.105050505050505,1349.0,90
1373,INDIGO,2024,68904,4805,52573.0,16331.0,24,2326,6406,8043,-2.0,8167,212.0,0.0,768,48.0,867,17,290,1222,548,15,188,471,1222,644,21183.0,-11759.0,-9979.0,-555.0,Interglobe Aviation Ltd,Consumer Discretionary,Airlines,1040632.92,1061542.29,76.23,7.87,24.64,4.27,11.85,76.3,0.018579234972677595,892.57,9424.0,17.065772669220944,21183.0,90
1196,TCS,2024,240893,176597,64296.0,27.0,3464,778,4985,61997,26.0,46099,127.0,58.0,1425,362.0,90127,8021,46962,145472,19604,1564,31762,92542,145472,1109,44338.0,6091.0,-48536.0,1893.0,Tata Consultancy Services Ltd,Information Technology,IT Services,461188.15,542230.13,78.69,6.08,29.94,1.62,19.14,26.69,0.0886406082507266,50.94,50429.0,2.528508507926756,44338.0,90
937,NESTLEIND,2024,24394,18581,5813.0,24.0,159,145,538,5289,26.0,3933,41.0,79.0,895,96.0,3244,345,6838,10523,3460,1742,464,4857,10523,869,4175.0,-1237.0,-3135.0,-198.0,Nestle India Ltd,Consumer Staples,Food Products,1677775.19,1677279.88,54.96,14.34,15.49,3.85,16.12,23.83,0.10329341317365269,117.75,2938.0,5.070919078461917,4175.0,90
1002,PIDILITIND,2024,12383,9675,2708.0,22.0,63,51,341,2379,27.0,1747,34.0,47.0,1073,51.0,8356,382,3286,12076,5451,148,2235,4242,12076,929,2724.0,-1769.0,-742.0,212.0,Pidilite Industries Ltd,Materials,Specialty Chemicals,162274.18,165749.2,36.12,12.3,5.36,1.01,14.11,21.87,0.045438325205186154,20.78,955.0,14.285714285714285,2724.0,90
1235,TORNTPHARM,2024,10728,7360,3368.0,31.0,146,354,808,2352,30.0,1656,49.0,57.0,1373,169.0,6687,4022,3627,14505,8138,361,173,5834,14505,1145,3266.0,-160.0,-2780.0,327.0,Torrent Pharmaceuticals Ltd,Healthcare,Pharmaceuticals,1870170.39,2275967.43,46.4,6.43,27.93,1.22,15.44,31.39,0.5866394399066511,24.15,3106.0,1.4914243102162565,3266.0,90
475,DRREDDY,2024,28011,20078,7933.0,28.0,909,171,1470,7201,23.0,5578,67.0,12.0,553,83.0,28171,2002,8523,38780,10426,1419,4930,22004,38780,457,4543.0,-4034.0,-376.0,133.0,Dr Reddys Laboratories Ltd,Healthcare,Pharmaceuticals,2441803.28,2725256.67,11.73,10.19,14.56,0.09,19.91,28.32,0.07085722375592836,19.74,509.0,14.401485130841454,4543.0,80
397,CIPLA,2024,25774,90,19483.0,6291.0,24,552,1051,5702,27.0,4154,51.0,25.0,475,161.0,26545,559,5267,32533,9607,1153,5449,16323,32533,385,4134.0,-2982.0,-1200.0,-49.0,"Cipla Ltd
",Healthcare,Pharmaceuticals,439803.15,562931.78,59.75,5.93,33.7,0.12,16.12,75.59,0.020931625851868495,15.55,1152.0,11.569799022270505,4134.0,80
1119,SIEMENS,2024,22240,19136,3104.0,14.0,925,60,330,3639,25.0,2718,76.0,16.0,1284,71.0,15286,279,9663,25299,3112,103,1,22082,25299,1037,1670.0,-502.0,-523.0,644.0,Siemens Ltd,Industrials,Capital Goods,1191331.95,1268446.56,33.32,9.25,30.88,3.69,12.22,13.96,0.018167610861496385,17.7,1168.0,2.2571942446043165,1670.0,80
1131,SUNPHARMA,2024,48497,35479,13018.0,28.0,865,238,2557,11088,13.0,9610,40.0,34.0,1321,240.0,63427,3274,18367,85308,23211,5354,15026,41717,85308,1049,12135.0,-763.0,-6710.0,4662.0,Sun Pharmaceuticals Industries Ltd,Healthcare,Pharmaceuticals,1339586.09,1264175.16,37.9,6.71,21.41,3.88,19.82,26.84,0.051423814535002436,15.09,11372.0,1.5732931933934058,12135.0,80
423,DABUR,2024,12404,10004,2400.0,19.0,482,124,399,2359,23.0,1811,10.0,53.0,501,177.0,9689,1365,3885,15116,3815,232,6933,4136,15116,409,2013.0,-971.0,-1161.0,-119.0,Dabur India Ltd,Consumer Staples,Personal Products,56521.84,67755.32,50.95,13.59,12.02,3.42,14.6,19.35,0.13835394283397526,18.36,1042.0,7.828119961302805,2013.0,80
345,BPCL,2024,448083,404001,44082.0,10.0,3032,4149,6771,36194,26.0,26859,62.0,33.0,424,2136.0,73499,54599,72184,202418,86798,20204,26631,68785,202418,337,35936.0,-10521.0,-25427.0,-12.0,Bharat Petroleum Corporation Ltd,Energy,Oil & Gas Refining,468662.13,606487.07,68.15,0.72,26.59,1.15,5.99,9.84,0.7218747934157467,35.51,25415.0,2.3480024906099985,35936.0,70
604,HEROMOTOCO,2024,37789,76,32554.0,5235.0,14,689,757,5090,26.0,3742,187.0,75.0,691,40.0,17659,606,7847,26153,6232,484,12751,6685,26153,572,4923.0,-1828.0,-2717.0,379.0,"Hero MotoCorp Ltd
",Consumer Discretionary,Two Wheelers,1593400.88,1475343.49,53.86,12.6,28.27,1.91,9.9,86.15,0.03423922255494661,21.14,3095.0,4.8373865410569215,4923.0,70
859,LT,2024,221113,191248,29865.0,14.0,3847,9512,3682,20517,24.0,15547,95.0,36.0,973,30.0,19988,2071,5456,27544,4981,551,8744,13269,27544,797,18266.0,2179.0,-25413.0,-4968.0,Larsen & Toubro Ltd,Industrials,Engineering & Construction,1124597.5,1097873.76,30.8,2.48,16.63,1.26,7.03,13.51,0.10345688880007993,77.67,20445.0,0.9854689683555468,18266.0,70
734,IOC,2024,776352,700706,75646.0,10.0,5389,7881,15866,57288,25.0,43161,30.0,40.0,806,13772.0,169645,132628,166639,482683,195998,61032,65542,160111,482683,680,71099.0,-31464.0,-39385.0,250.0,"Indian Oil Corporation
",Energy,Oil & Gas Refining,1418164.33,1786391.89,28.61,4.24,33.71,1.25,5.56,9.74,0.7230954600718581,23.53,39635.0,4.052800791393595,71099.0,70
833,LICI,2024,845966,813188,32779.0,4.0,14829,128,466,47014,13.0,40916,66.0,15.0,993,6325.0,76422,0,5233300,5316047,20667,403,4976133,318844,5316047,767,26122.0,-25269.0,-4427.0,-3574.0,Life Insurance Corporation of India,Financials,Life Insurance,183583.67,205478.22,30.67,8.1,12.21,3.77,4.84,3.87,0.0,49.45,853.0,2.986999477520373,26122.0,70
